201,burning-keno,Burning Keno,keno
401,secrets-of-sherwood,Secrets of Sherwood,slot
402,diamond-plus,Diamond Plus,slot
403,froggy-dice,Froggy Dice,slot
404,mighty-sparta,Mighty Sparta,slot
405,candy-palace,Candy Palace,slot
407,fruity-time,Fruity Time,slot
408,40-luxury-dice,40 Luxury Dice,slot
409,27-dice,27 Dice,slot
410,bulky-fruits,Bulky Fruits,slot
411,hot-deco,Hot Deco,slot
412,cocktail-rush,Cocktail Rush,slot
414,richness-factory,Richness Factory,slot
416,greek-fortune,Greek Fortune,slot
417,fruits-gold,Fruits & Gold,slot
418,20-golden-dice,20 Golden Dice,slot
421,27-eternal-hot,27 Eternal Hot,slot
425,drops-of-water,Drops of Water,slot
426,40-power-hot,40 Power Hot,slot
427,20-bulky-fruits,20 Bulky Fruits,slot
428,40-bulky-fruits,40 Bulky Fruits,slot
431,power-hot,Power Hot,slot
432,flaming-hot-6-reels,Flaming Hot 6 Reels,slot
433,bulky-dice,Bulky Dice,slot
434,100-power-hot,100 Power Hot,slot
435,20-power-hot,20 Power Hot,slot
437,dancing-dead,Dancing Dead,slot
438,dice-plus,Dice Plus,slot
439,dice-deco,Dice Deco,slot
440,phoenix-star,Phoenix Star,slot
441,100-bulky-fruits,100 Bulky Fruits,slot
442,cavemen-and-dinosaurs,Cavemen and Dinosaurs,slot
443,aztec-forest,Aztec Forest,slot
444,dice-of-sherwood,Dice of Sherwood,slot
445,40-bulky-fruits-6-reels,40 Bulky Fruits 6 Reels,slot
446,extra-crown,Extra Crown,slot
447,easter-frog,Easter Frog,slot
449,art-of-gold,Art of Gold,slot
450,richness-dice,Richness Dice,slot
451,5-glossy-hot,5 Glossy Hot,slot
452,kemets-treasures,Kemet's Treasures,slot
454,dice-ways,Dice Ways,slot
455,candy-dice,Candy Dice,slot
456,20-bulky-dice,20 Bulky Dice,slot
457,aztec-dice,Aztec Dice,slot
459,clover-islands,Clover Islands,slot
461,vampire-bites,Vampire Bites,slot
463,secret-of-cairo,Secrets of Cairo,slot
464,orient-story-deluxe,Orient Story Deluxe,slot
467,water-dice,Water Dice,slot
468,40-golden-coins,40 Golden Coins,slot
470,100-golden-coins,100 Golden Coins,slot
475,stoichkov-8,Stoichkov 8,slot
476,20-power-hot-dice,20 Power Hot Dice,slot
477,40-power-hot-dice,40 Power Hot Dice,slot
478,100-power-hot-dice,100 Power Hot Dice,slot
479,wild-traces,Wild Traces,slot
480,7-crystals,7 & Crystals,slot
484,dice-vikings,Dice Vikings,slot
485,5-glossy-dice,5 Glossy Dice,slot
489,diamond-plus-valentines-edition,Diamond Plus Valentine's Edition,slot
491,10-power-hot,10 Power Hot,slot
492,extra-crown-classic,Extra Crown Classic,slot
495,diamond-plus-football-edition,Diamond Plus Football Edition,slot
496,diamond-plus,Diamond Plus,slot
497,20-diamond-plus,20 diamond plus,slot
498,40-diamond-plus,40 Diamond Plus,slot
501,fast-money,Fast Money,slot
502,magellan,Magellan,slot
503,jungle-adventure,Jungle Adventure,slot
504,route-of-mexico,Route of Mexico,slot
505,wonder-tree,Wonder Tree,slot
506,caramel-hot,Caramel Hot,slot
507,thumbelinas-dream,Thumbelina's Dream,slot
508,dragon-reborn,Dragon Reborn,slot
509,flaming-dice,Flaming Dice,slot
510,legendary-rome,Legendary Rome,slot
511,aztec-glory,Aztec Glory,slot
512,queen-of-rio,Queen of Rio,slot
513,the-big-journey,The Big Journey,slot
514,coral-island,Coral Island,slot
515,like-a-diamond,Like a Diamond,slot
516,more-like-a-diamond,More Like a Diamond,slot
517,sweet-cheese,Sweet Cheese,slot
518,crazy-bugs-ii,Crazy Bugs II,slot
519,dice-high,Dice High,slot
520,almighty-ramses-ii,Almighty Ramses II,slot
521,caramel-dice,Caramel Dice,slot
522,amazons-story,Amazons' Story,slot
523,wonderheart,Wonderheart,slot
525,brave-cat,Brave Cat,slot
527,100-super-hot,100 Super Hot,slot
528,30-spicy-fruits,30 Spicy Fruits,slot
529,40-burning-hot,40 Burning Hot,slot
530,20-burning-hot,20 Burning Hot,slot
531,40-ultra-respin,40 Ultra Respin,slot
532,5-burning-heart,5 Burning Heart,slot
533,10-burning-heart,10 Burning Heart,slot
534,100-super-dice,100 Super Dice,slot
535,30-spicy-dice,30 Spicy Dice,slot
536,40-burning-dice,40 Burning Dice,slot
537,20-burning-dice,20 Burning Dice,slot
538,rise-of-rise-eq,Rise of Rise EQ,slot
539,burning-hot-eq,Burning Hot EQ,slot
540,20-super-hot-eq,20 Super Hot EQ,slot
541,halloween,Halloween,slot
542,circus-brilliant,Circus Brilliant,slot
543,egypt-sky-eq,Egypt Sky EQ,slot
544,20-dazzling-hot,20 Dazzling Hot,slot
545,40-hot-cash,40 Hot & Cash,slot
546,40-lucky-king,40 Lucky King,slot
547,40-mega-clover,40 Mega Clover,slot
548,100-burning-hot,100 Burning Hot,slot
549,81-wins,81 Wins,slot
550,virtual-roulette,Virtual Roulette,roulette
553,5-great-star,5 Great Star,slot
554,20-joker-reels,20 Joker Reels,slot
555,great-27,Great 27,slot
556,27-wins,27 Wins,slot
557,5-juggle-fruits,5 Juggle Fruits,slot
558,20-hot-blast,20 Hot Blast,slot
559,20-joker-dice,20 Joker Dice,slot
560,shining-dice,Shining Dice,slot
561,40-almighty-ramses-ii,40 Almighty Ramses II,slot
562,vampire-night,Vampire Night,slot
563,50-amazons-battle,50 Amazons' Battle,slot
564,volcano-wealth,Volcano Wealth,slot
565,burning-hot-6-reels,Burning Hot 6 Reels,slot
566,40-burning-hot-6-reels,40 Burning Hot 6 Reels,slot
567,ancient-dynasty,Ancient Dynasty,slot
568,flaming-hot-extreme,Flaming Hot Extreme,slot
569,40-king,40 King,slot
570,81-dice,81 Dice,slot
571,ice-valley,Ice Valley,slot
572,rainbow-luck,Rainbow Luck,slot
573,lucky-wood,Lucky Wood,slot
574,knights-heart,Knight's Heart,slot
575,retro-cabaret,Retro Cabaret,slot
576,pin-up-queens,Pin Up Queens,slot
577,mythical-treasure,Mythical Treasure,slot
578,emperors-palace,Emperor's Palace,slot
579,dorothys-fairyland,Dorothy's Fairyland,slot
580,the-story-of-alexander-2,The Story of Alexander 2,slot
581,30-summer-bliss,30 Summer Bliss,slot
592,20-golden-coins,20 Golden Coins,slot
593,orient-story,Orient Story,slot
594,blue-oceans,Blue Oceans,slot
595,tirol-fest,Tirol Fest,slot
596,viking-rising,Viking Rising,slot
597,kamakura,Kamakura,slot
598,magic-guardians,Magic Guardians,slot
599,empress-charm,Empress Charm,slot
603,virtual-vegas-roulette,Virtual Vegas Roulette,roulette
604,virtual-space-roulette,Virtual Space Roulette,roulette
605,virtual-monaco-roulette,Virtual Monaco Roulette,roulette
607,40-extra-crown,40 Extra Crown,slot
608,20-glossy-hot,20 Glossy Hot,slot
613,dice-roll-christmas-edition,Dice & Roll - Christmas Edition,slot
614,rolling-dice-christmas-edition,Rolling Dice Christmas Edition,slot
615,caramel-dice-christmas-edition,Caramel Dice Christmas Edition,slot
616,caramel-hot-christmas-edition,Caramel Hot - Christmas Edition,slot
620,10-glossy-hot,10 Glossy Hot,slot
621,candy-palace-christmas-edition,Candy Palace - Christmas Edition,slot
622,20-golden-coins-christmas-rdition,20 Golden Coins - Christmas Edition,slot
625,7-crystal-dice,7 & Crystal Dice,slot
629,20-wild-goals,20 Wild Goals,slot
632,extra-crown-deluxe,Extra Crown Deluxe,slot
636,40-golden-coins-dice-edition,40 Golden Coins - Dice Edition,slot
639,40-bulky-dice-6-reels,40 Bulky Dice 6 Reels,slot
640,kennets-dice,Kennet's Dice,slot
645,sparta-legend,Sparta Legend,slot
661,10-vampire-bites,10 Vampire Bites,slot
662,20-vampire-bites,20 Vampire Bites,slot
663,dice-dinosaurs,Dice & Dinosaurs,slot
701,keno-universe,Keno Universe,keno
703,superb-keno,Superb Keno,keno
704,hot-keno,Hot Keno,keno
801,burning-hot,Burning Hot,slot
802,ultimate-hot,Ultimate Hot,slot
803,20-super-hot,20 Super Hot,slot
804,40-super-hot,40 Super Hot,slot
805,flaming-hot,Flaming Hot,slot
806,rise-of-ra,Rise of RA,slot
807,zodiac-wheel,Zodiac Wheel,slot
808,amazing-amazonia,Amazing Amazonia,slot
809,royal-secrets,Royal Secrets,slot
810,5-dazzling-hot,5 Dazzling Hot,slot
811,fruits-kingdom,Fruits Kingdom,slot
812,age-of-troy,Age of Troy,slot
813,dragon-reels,Dragon Reels,slot
814,blue-heart,Blue Heart,slot
815,witches-charm,Witches' Charm,slot
817,grace-of-cleopatra,Grace of Cleopatra,slot
818,versailles-gold,Versailles Gold,slot
819,olympus-glory,Olympus Glory,slot
820,fortune-spells,Fortune Spells,slot
821,supreme-hot,Supreme Hot,slot
822,extra-stars,Extra Stars,slot
823,game-of-luck,Game of Luck,slot
824,dice-roll,Dice & Roll,slot
825,egypt-sky,Egypt Sky,slot
826,book-of-magic,Book of Magic,slot
828,secrets-of-alchemy,Secrets of Alchemy,slot
829,circus-brilliant,Circus Brilliant,slot
830,majestic-forest,Majestic Forest,slot
831,shining-crown,Shining Crown,slot
832,venezia-doro,Venezia D'oro,slot
833,halloween,Halloween,slot
834,the-explorers,The Explorers,slot
835,forest-band,Forest Band,slot
836,kangaroo-land,Kangaroo Land,slot
837,great-adventure,Great Adventure,slot
839,ocean-rush,Ocean Rush,slot
840,rainbow-queen,Rainbow Queen,slot
841,imperial-wars,Imperial Wars,slot
842,burning-dice,Burning Dice,slot
843,20-super-dice,20 Super Dice,slot
844,40-super-dice,40 Super Dice,slot
845,supreme-dice,Supreme Dice,slot
846,kashmir-gold,Kashmir Gold,slot
847,100-cats,100 Cats,slot
848,oil-company-ii,Oil Company II,slot
849,lucky-hot,Lucky Hot,slot
850,casino-mania,Casino Mania,slot
851,action-money,Action Money,slot
852,penguin-style,Penguin Style,slot
853,frog-story,Frog Story,slot
854,20-diamonds,20 Diamonds,slot
855,summer-bliss,Summer Bliss,slot
857,extra-joker,Extra Joker,slot
858,dark-queen,Dark Queen,slot
859,amazons-battle,Amazons' Battle,slot
862,gold-dust,Gold Dust,slot
863,the-white-wolf,The White Wolf,slot
864,great-empire,Great Empire,slot
865,inca-gold-ii,Inca Gold II,slot
866,hot-cash,Hot & Cash,slot
868,lucky-wild,Lucky & Wild,slot
869,more-lucky-wild,More Lucky & Wild,slot
871,cats-royal,Cats Royal,slot
872,genius-of-leonardo,Genius of Leonardo,slot
873,the-secrets-of-london,The Secrets of London,slot
875,more-dice-roll,More Dice & Roll,slot
876,forest-tale,Forest Tale,slot
879,50-horses,50 Horses,slot
880,extremely-hot,Extremely Hot,slot
881,lucky-buzz,Lucky Buzz,slot
882,2-dragons,2 Dragons,slot
884,aloha-party,Aloha Party,slot
885,the-great-egypt,The Great Egypt,slot
886,5-hot-dice,5 Hot Dice,slot
888,dragon-hot,Dragon Hot,slot
889,retro-style,Retro Style,slot
892,savannas-life,Savanna's Life,slot
893,100-dice,100 Dice,slot
894,dice-of-magic,Dice of Magic,slot
895,spanish-passion,Spanish Passion,slot
896,the-story-of-alexander,The Story of Alexander,slot
897,super-20,Super 20,slot
898,mayan-spirit,Mayan Spirit,slot
899,rich-world,Rich World,slot
910,coin-gobbler,Coin Gobbler,slot
901,jacks-or-better-poker,Jacks or Better Poker,poker
902,joker-poker,Joker Poker,poker
903,4-of-a-kind-bonus-poker,4 of a Kind Bonus Poker,poker
911,coin-gobbler-christmas-edition,Coin Gobbler - Christmas Edition,slot
20201,european-roulette,European Roulette,Roulette
11,dynamic-european-roulette,Dynamic European Roulette,lives
15,dynamic-roulette-120x,Dynamic Roulette 120x,Roulette
19,live-european-roulette,Live European Roulette,lives
29,onyx-auto-roulette,Onyx Auto Roulette,Roulette
30,live-speed-roulette,Live Speed Roulette,lives
38,vegas-roulette-500x,Vegas Roulette 500x,Roulette
39,live-roulette-bulgarian,Live Roulette - Bulgarian,lives
40,live-roulette-russian,Live Roulette - Russian,lives
43,live-altin-roulette,Live Altin Roulette,lives
47,showtime-roulette,Showtime Roulette,Roulette
3400,extra-crown-deluxe-live,Extra Crown Deluxe Live,slot
5000,shining-crown-buy-bonus,Shining Crown Buy Bonus,slot

