tk-uncharted,1429 Uncharted Seas
tk-astronaut,Arcader
tk-s1-g5,Babushkas
tk-barbershop-a,Barbershop: Uncut
tk-birds-a,Birds On A Wire
tk-berzerker-a,Bork The Berzerker, Hack N Slash Edition
tk-esqueleto-a,Esqueleto Explosivo
tk-s1-g10,Flame Busters
tk-starvector,Flux
tk-s1-g8,Frog Grog
tk-fruittime,Fruit Warp
tk-s1-g12,Full Moon Romance
tk-s1-g19,Jaguar Temple
tk-s1-g11,Luchadora
tk-magicians-a,Magicious
tk-s1-g14,Not Enough Kittens
tk-s1-g13,Pink Elephants
tk-s1-g20,Rocket Fellas Inc
tk-s1-g6,Spectra
tk-s1-g3,Sunset Delight
tk-s1-g15,The Falcon Huntress
tk-s1-g1,The Rift
tk-s1-g18,Tiger Rush
tk-tokitime,Toki Time
tk-s1-g7,Turning Totems
tk-s1-g9,Well of Wonders
tk-s1-g16,Wild Heist at Peacock Manor
tk-s1-g17,Yeti Battle of Greenhat peak
tk-s1-g4,Zoom
tk-s1-g21,Carnival Queen
tk-s1-g22,Midas Golden Touch
tk-s1-g23,Dragon Horn 
tk-s1-g24,Ravens Eye 
tk-s1-g25,Riders of the Storm
tk-s1-g26,Divine Lotus
tk-s1-g28,Sword of Khans
tk-s1-g27,Esqueleto Explosivo 2
tk-s1-g30,Beat the Beast: Krakens Lair
tk-s1-g31,Beat the Beast: Mighty Sphinx
tk-s1-g29,Pink Elephants 2
tk-s1-g32,Beat the Beast: Cerberus Inferno
tk-s1-g33,Beat the Beast: Quetzalcoatls Trial
tk-s1-g35,Jin Chans Pond of Riches
tk-s1-g40,Crystal Quest: Deep Jungle
tk-s1-g34,Beat the Beast: Griffins Gold
tk-s1-g41,Crystal Quest: Arcane Tower 
tk-s1-g36,Cosmic Voyager 
tk-s1-g37,Big Fin Bay
tk-s1-g42,Crystal Quest: Frostlands
tk-s1-g38,Baron Bloodmore and the Crimson Castle
tk-s1-g45,Pyramyth
tk-s1-g46,Gods of Rock! 
tk-s1-g47-96,Fortune Cats
tk-s1-g39-96,Odins Gamble